,Name,Description,Designation,Latitude,Longitude,States,Type,Free,Cost
,Aleutian Islands World War II National Historic Area,"The Aleutian Islands World War II National Historic Area State Parkans the remote Aleutian chain in Alaska, where the United States and Japan fought in the 1942–1943 campaign. It preserves battlefield remnants—fortifications, airfields, radar stations, trenches, and shipwrecks—set amid rugged volcanic islands, cold seas, and windswept coastlines. Wildlife includes seabirds, sea otters, seals, and whales, while communities on Unalaska (Dutch Harbor), Adak, and Attu offer a window into wartime life on this harsh, State Parkectacular frontier.",National Historic Site,53.9143,-166.5197,AK,National,TRUE,0
,Alibates Flint Quarries National Monument,"Along the arid plains of the Texas Panhandle, Alibates Flint Quarries National Monument preserves a dramatic landscape of white badlands and multi-hued limestone ridges along the Canadian River. For thousands of years, Indigenous peoples quarried the Alibates chert here to make tools and weapons, leaving behind quarry pits and ancient campsites that reveal a deep, enduring history. The rugged scenery supports a range of wildlife, including pronghorn antelope, mule deer, coyotes, bobcats, prairie dogs, rattlesnakes, and numerous birds of prey and songbirds. Hiking and backcountry exploring let visitors connect with both the striking geology and the cultural past of this remarkable High Plains landscape.",National Monument,35.5819662,-101.6717,TX,National,TRUE,0
,Allegheny Portage Railroad National Historic Site,"This historic corridor in central Pennsylvania preserves the 1830s Allegheny Portage Railroad, a pivotal link between the eastern Main Line Canal and the west by climbing the Allegheny Front with a series of inclined planes. Visitors can see remnants of engine houses, cable systems, and miles of canal-era landscape that tell the story of early American engineering.",National Historic Site,40.4297747,-78.574316,PA,National,TRUE,0
,Amache National Historic Site,"Amache National Historic Site sits on the high plains of southeast Colorado near Granada and preserves the Granada War Relocation Center (Amache), one of the wartime Japanese American confinement sites. The site interprets the camp’s history through remnants of barracks foundations, guard towers, and administrative areas, with trails and a visitor center that tell the stories of internees and the policy decisions behind relocation. The surrounding prairie and sagebrush habitats support pronghorn, mule deer, coyotes, and a variety of raptors, framing a powerful chapter of American history with stark, open landscapes.",National Historic Site,38.04962,-102.32903,CO,National,TRUE,0
,American Memorial Park,"American Memorial Park sits on Saipan in the Northern Mariana Islands, a coastal park commemorating U.S. service members who fought in the Pacific during World War II. The park features memorials, a cemetery, and a museum dedicated to the war, with scenic ocean views and interpretive diState Parklays along park trails. Coastal habitats include beaches, coral reefs, and mangrove-lined shores, supporting seabirds, sea turtles, and tropical marine life.",National Memorial,15.2168003,145.72311,MP,National,TRUE,0
,Amistad National Recreation Area,"This scenic region along the Rio Grande in southwest Texas encompasses Amistad National Recreation Area, protecting the Amistad Reservoir and rugged limestone canyons. Boating, fishing, camping, scenic drives, and backcountry hiking reveal desert landscapes, canyon overlooks, and shoreline coves. Wildlife includes white-tailed deer, mule deer, javelina, and a variety of birds and fish.",National Recreation Area,29.5353978,-101.07582,TX,National,TRUE,0
,Anacostia Park,"This urban park system along the Anacostia River in Washington, D.C., comprises several connected units that protect riverfront wetlands, riparian woodlands, and Civil War–era fortifications. The trails and river overlooks offer opportunities for biking, hiking, birding, and kayaking, while interpretive programs highlight local history, ecology, and community stewardship. - Anacostia Park",National Park,38.8782,-76.9703,DC,National,TRUE,0
,Andersonville National Historic Site,"This region in southwestern Georgia preserves the site of a Civil War prisoner-of-war camp and the National Cemetery. It features the prison ruins, the cemetery monuments, and the National Prisoner of War Museum with interpretive exhibits. The landscape includes pine and hardwood forests with wetlands and open fields, and wildlife such as white-tailed deer, wild turkeys, foxes, and a variety of birds.",National Historic Site,32.1983176,-84.129889,GA,National,TRUE,0
,Andrew Johnson National Historic Site,"This region that shaped a president consists of Andrew Johnson National Historic Site in Greeneville, Tennessee. Two units preserve Johnson’s 19th-century home and the accompanying tailor shop, as well as the nearby National Cemetery where he is buried. The setting blends a quiet East Tennessee town with surrounding farmland and woodlands, and visitors can tour furnished rooms, restored outbuildings, and the grounds to glimpse life in Johnson’s era, with ranger-guided programs and self-guided tours available.",National Historic Site,36.1562451,-82.83709,TN,National,TRUE,0
,Aniakchak National Monument & Preserve,"This remote Alaska landscape sits on the windswept Alaska Peninsula along the Pacific coast. It centers on Aniakchak Crater, a colossal volcanic caldera ringed by sheer cliffs, lava fields, and a windswept lake, with rugged coastline and black-sand beaches. Wildlife includes brown bears, caribou, and wolves, plus abundant seabirds and marine mammals along the coast.",National Preserve,56.8531768,-157.55444,AK,National,TRUE,0
,Antietam National Military Park,"Antietam National Military Park preserves the battlefield of the 1862 Antietam Campaign, a landscape of rolling farmland, woodland pockets, and Antietam Creek near SharpState Beachurg, Maryland. The park highlights landmark sites such as Burnside’s Bridge, the Sunken Road (Bloody Lane), and the Dunker Church, along with the Pry House Field HoState Parkital Museum and the Antietam National Cemetery. Visitors can walk battlefield trails, drive scenic loops, and join ranger-led programs that tell the tactics, sacrifices, and human stories of the Civil War’s bloodiest single-day combat.",National Military Park,39.4676345,-77.73828,MD,National,FALSE,20
,Apostle Islands National Lakeshore,"The Apostle Islands National Lakeshore State Parkans 21 islands and miles of mainland shoreline along Lake Superior in Wisconsin. It features sea caves carved in sandstone cliffs, rugged shoreline, historic lighthouses, beaches, and opportunities for kayaking, camping, and backcountry hiking. Wildlife includes bald eagles, loons, waterfowl, and a variety of seabirds.",National Lakeshore,46.9624047,-90.660457,WI,National,TRUE,0
,Appalachian National Trail,"Stretching more than 2,000 miles from Georgia to Maine, the Appalachian National Scenic Trail follows the crest of the Appalachian Mountains through some of the oldest landscapes in North America. The trail traverses a mosaic of national parks, forests, and public lands, offering continuous backcountry hiking, primitive shelters, and scenic overlooks. Environments range from southern hardwood forests and rolling ridgelines to high-elevation balds and rugged northern peaks. The corridor supports diverse wildlife, including black bears, white-tailed deer, wild turkeys, salamanders, and hundreds of bird State Parkecies, making it one of the most biologically rich long-distance trails in the world.",National Trail,40.4102958,-76.433755,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",National,TRUE,0
,Appomattox Court House National Historical Park,"This Virginia landscape preserves the site where the Civil War effectively ended with Confederate General Robert E. Lee’s surrender to General Ulysses S. Grant in 1865. Appomattox Court House National Historical Park centers on the village around the courthouse, the McLean House, and the surrounding countryside that together tell the story of a rural 19th‑century town and the surrender that shaped a nation. Historic buildings, quiet lanes, and interpretive trails invite visitors to step back in time and reflect on the war’s final days.",National Historical Park,37.3802216,-78.79857,VA,National,TRUE,0
,Arches National Park,"This red-rock country near Moab, Utah, is a national park famed for more than 2,000 natural sandstone arches, dramatic fins, and towering balanced rocks set amid sweeping canyons. Beyond iconic Delicate Arch and the Devils Garden area, visitors enjoy scenic drives, backcountry hiking, and opportunities for rock climbing and stargazing. Wildlife includes desert bighorn sheep, mule deer, and peregrine falcons, along with a variety of desert-dwelling birds and small mammals.",National Park,38.7226184,-109.58637,UT,National,FALSE,30
,Arkansas Post National Memorial,"This memorial preserves the Civil War battlefield at the confluence of the Arkansas and Mississippi Rivers, where history unfolds amid river-bottom hardwood forests and wetlands. The landscape includes bottomland forests, wetlands, and riparian habitats that support waterfowl, wading birds, and other riverine wildlife.",National Memorial,34.0039,-91.308372,AR,National,TRUE,0
,"Arlington House, The Robert E. Lee Memorial","This hilltop memorial sits within Arlington National Cemetery, preserving Arlington House, the Robert E. Lee family home. The site features restored 19th-century rooms, period furnishings, and surrounding grounds that interpret Civil War history and the Lee family's legacy. From its lawn, visitors can enjoy quiet reflection and views of the Potomac River and the Washington, D.C. skyline.",National Memorial,38.8822021,-77.073479,VA,National,TRUE,0
,Assateague Island National Seashore,"This Atlantic coast barrier island along the Maryland–Virginia border preserves a dynamic seashore ecosystem. Assateague Island National Seashore features beaches, shifting dunes, salt marshes, maritime forests, and tidal flats that support a wide variety of life and backcountry exploration. Wildlife includes the famous wild horses (the Chincoteague ponies), white-tailed deer, foxes, shorebirds, and nesting sea turtles.",National Seashore,38.0559317,-75.245246,"MD,VA",National,FALSE,25
,Aztec Ruins National Monument,"Along the Animas River in northwestern New Mexico, Aztec Ruins National Monument preserves a 900-year-old ancestral Puebloan great house and an interconnected village complex, including a reconstructed great kiva and numerous rooms. The surrounding landscape blends desert scrub with piñon-juniper woodlands and riparian cottonwood-willow habitats along the river. Wildlife includes mule deer, coyotes, jackrabbits, and a variety of birds and reptiles.",National Monument,36.8368222,-107.99992,NM,National,TRUE,0
,Badlands National Park,"Wind-worn badlands of southwestern South Dakota reveal layered cliffs, State Parkires, and canyons carved from ancient seas. The park protects one of the world’s richest fossil beds, State Parkanning millions of years of prehistoric life. Scenic drives and backcountry trails traverse sculpted landscapes where wildlife such as American bison, pronghorn, bighorn sheep, and prairie dogs roam.",National Park,43.6858485,-102.48294,SD,National,FALSE,30
,Baltimore-Washington Parkway,"The Baltimore-Washington Parkway is a scenic corridor linking two national capitals along a tree-lined route through urban parks, river valleys, and suburban woodlands. In addition to its role as a highway, the area features scenic pull-offs, adjacent parklands with trails and historic sites, and a sense of mid-Atlantic landscape history. Wildlife includes white-tailed deer, red-tailed hawks, foxes, and a variety of migratory birds that seasonally inhabit the corridor's greenways.",National Parkway,39.0260429,-76.854109,MD,National,TRUE,0
,Bandelier National Monument,"This monument preserves a canyon-and-plateau landscape on the Pajarito Plateau in north-central New Mexico. It protects cliff dwellings and pueblos built by Ancestral Puebloans along Frijoles Canyon, including Tyuonyi, Alcove House, and Painted Cave, with thousands of archaeological sites and rock art. Ponderosa pine forests and piñon-juniper woodlands border rugged canyons and mesas, and backcountry trails access remote ruins and scenic overlooks. Wildlife includes mule deer, coyotes, and a wide variety of birds.",National Monument,35.778986,-106.33171,NM,National,FALSE,25
,Belmont-Paul Women's Equality National Monument,"This urban monument on Capitol Hill in Washington, D.C. preserves the Belmont-Paul Women's Equality National Monument—the historic Belmont Mansion and longtime headquarters of the National Woman's Party. Historic rooms, meeting State Parkaces, and archival collections tell the story of the women's suffrage movement, civil rights advocacy, and the ongoing pursuit of gender equality.",National Monument,38.8923154,-77.003819,DC,National,TRUE,0
,Bent's Old Fort National Historic Site,"Bent's Old Fort National Historic Site sits along the Arkansas River in southeastern Colorado, preserving an authentic 1840s adobe fort that once served as a bustling Santa Fe Trail trading post. The reconstructed walls and interiors tell the story of frontier commerce and cross‑cultural exchange among American traders, Mexican merchants, and Ute, Apache, and Comanche peoples. Today the site offers guided tours and living-history demonstrations that recreate daily life, trade, and hoState Parkitality at a mid‑19th‑century fort, with period gardens and interpretive exhibits that bring the frontier to life.",National Historic Site,38.0397755,-103.42665,CO,National,TRUE,0
,Bering Land Bridge National Preserve,"Located in remote northwest Alaska along the Bering Sea coast, Bering Land Bridge National Preserve preserves the remnants of the ancient land bridge that connected Asia and North America. The windswept tundra, permafrost-rich uplands, and rugged coastal bluffs frame a stark, expansive landscape that records glacial and sea-level history. Wildlife includes caribou, muskoxen, Arctic foxes, wolves, and a variety of migratory birds along tidal flats and shores. Access is primarily by small plane or boat, inviting visitors to experience one of the most remote, solitary places in the National Park System.",National Preserve,65.960879,-164.40864,AK,National,TRUE,0
,Big Bend National Park,"This vast park protects desert, canyon, and river ecosystems along the Rio Grande in far western Texas, offering scenic drives and backcountry hiking opportunities. In the Chisos Mountains, forests and high-country habitats meet dramatic canyons such as Santa Elena and Boquillas that carve through the rock. The Rio Grande forms the border with Mexico, while wildlife such as mule deer, javelina, coyotes, and more than 450 State Parkecies of birds thrive in the park.",National Park,29.2981777,-103.22979,TX,National,FALSE,30
,Big Cypress National Preserve,"This expansive wilderness in southern Florida preserves a mosaic of cypress swamps, hardwood hammocks, pine flatwoods, and sawgrass prairies that link the Everglades with the coast. Scenic drives, backcountry hiking, and camping opportunities let visitors experience wild wetlands and remote backcountry. Wildlife includes American alligators, Florida panthers, black bears, white-tailed deer, bobcats, and hundreds of bird State Parkecies.",National Preserve,25.970796,-81.081206,FL,National,TRUE,0
,Big Hole National Military Park,"Big Hole National Battlefield (also known as Big Hole National Military Park) preserves the site of the 1877 Nez Perce War clash along the Big Hole River in southwestern Montana. The landscape includes riparian river corridors, sagebrush prairies, and pine-covered hills with interpretive trails and a visitor center, and wildlife includes mule deer, pronghorn, bighorn sheep, and a variety of birds.",National Military Park,45.6464732,-113.64584,MT,National,TRUE,0
,Big South Fork National River & Recreation Area,"Big South Fork National River and Recreation Area sits along the Big South Fork of the Cumberland River on the Tennessee–Kentucky border, featuring rugged canyons, sandstone cliffs, and preserved timber-era landscapes. In addition to scenic river trips, the area offers horseback riding, hiking, and backcountry camping, with historic cabins and trails reflecting the region's timber era. Wildlife includes white-tailed deer, wild turkeys, black bears, and bobcats.",National River,36.5348388,-84.665067,"KY,TN",National,TRUE,0
,Big Thicket National Preserve,"Big Thicket National Preserve sits at the biological crossroads of Southeast Texas, protecting a mosaic of pine forests, cypress swamps, bayous, bogs, and bottomland hardwoods across several units. The preserve offers scenic drives, canoeing and kayaking, and backcountry hiking through a landscape where longleaf pines meet water and forest. Wildlife includes American alligators, white-tailed deer, bobcats, river otters, and a rich array of bird State Parkecies.",National Preserve,30.4579834,-94.386742,TX,National,TRUE,0
,Bighorn Canyon National Recreation Area,"This region State Parkans two units along the Bighorn River in southern Montana and northern Wyoming, protecting dramatic canyon walls and the blue waters of Bighorn Lake behind Yellowtail Dam. Scenic drives, boating, fishing, camping, and backcountry hiking opportunities await, while wildlife includes bighorn sheep, mule deer, elk, and bald eagles.",National Recreation Area,45.1315423,-108.14439,"MT,WY",National,TRUE,0
,Birmingham Civil Rights National Monument,"This district in downtown Birmingham preserves a walkable landscape of sites that propelled the modern civil rights movement. Core places include the 16th Street Baptist Church, Kelly Ingram Park, and the Birmingham Civil Rights Institute, with self-guided or ranger-led tours, living-history programs, and commemorative markers along the Civil Rights Heritage Trail. The area preserves the courage of activists, the power of peaceful protest, and the ongoing pursuit of racial equality in America.",National Monument,33.5154266,-86.814667,AL,National,TRUE,0
,Biscayne National Park,"Located off the southern coast of Florida, Biscayne National Park protects a marine landscape of mangrove forests, seagrass beds, and coral reefs that State Parkan Biscayne Bay and the adjacent Florida Keys. Much of the park lies underwater, offering reefs, shipwrecks, and submerged archaeological sites, as well as mangrove keys and tidal channels. Wildlife includes American crocodiles, bottlenose dolphins, manatees, hawkState Beachill and green sea turtles, and a rich array of tropical fish and shorebirds.",National Park,25.490587,-80.210239,FL,National,TRUE,0
,Black Canyon Of The Gunnison National Park,"This dramatic park in western Colorado protects one of the deepest, most dramatic canyons in North America, carved by the Gunnison River. Scenic drives and backcountry hiking opportunities along the rim offer sweeping views of towering, dark cliff faces. Wildlife includes mule deer, elk, and a variety of birds of prey, and the park’s star-filled night skies provide exceptional stargazing.",National Park,38.5777987,-107.72428,CO,National,FALSE,30
,Blackstone National River Valley National Historical Park,"This region along the Blackstone River Valley in Rhode Island and Massachusetts preserves the birthplace of the American Industrial Revolution. The park protects 18th- and 19th-century mills, canal infrastructure, and worker housing, with riverfront towns, heritage trails, and interpretive programs. Wildlife includes beavers, river otters, great blue herons, and a variety of waterfowl.",National Historical Park,41.8775793,-71.382434,"RI,MA",National,TRUE,0
,Blackwell School National Historic Site,"This region centers on the Blackwell School National Historic Site, a late-19th-century schoolhouse that served generations of local families as a cornerstone of education and community life. The site features the restored school building, period classroom furnishings, and interpretive exhibits that tell the stories of students, teachers, and the neighborhood. Visitors can take guided tours and explore living-history programs that highlight education, perseverance, and the enduring role of schools in shaping opportunity.",National Historic Site,30.3058519,-104.02243,TX,National,TRUE,0
,Blue Ridge Parkway,"Stretching 469 miles along the crest of the Blue Ridge, the Blue Ridge Parkway runs from Shenandoah National Park in Virginia to Great Smoky Mountains National Park in North Carolina. It winds through hardwood forests and high-elevation State Parkruce-fir habitats, offering scenic overlooks, waterfalls, and backcountry hiking while supporting wildlife such as black bears, white-tailed deer, wild turkeys, and peregrine falcons.",National Parkway,35.5657195,-82.486485,"NC,VA",National,TRUE,0
,Bluestone National Scenic National River,"This shaded river corridor in southern West Virginia preserves the Bluestone River as it winds through sandstone canyons and hardwood forests. Visitors enjoy scenic overlooks, backcountry hiking along the river, and opportunities for fishing, paddling, and picnicking in quiet, unState Parkoiled surroundings. Wildlife includes white-tailed deer, black bears, river otters, beavers, and a variety of birds such as bald eagles, oState Parkreys, and pileated woodpeckers.",National River,37.5657709,-80.983667,WV,National,TRUE,0
,Booker T Washington National Monument,"This historic landscape preserves the birthplace and boyhood home of Booker T. Washington on a rural Virginia farm. A restored log cabin, a reconstructed one-room schoolhouse, and interpretive trails wind through fields and woodlands that shaped his early life. Wildlife includes white-tailed deer and a variety of songbirds, and exhibits highlight Washington's journey from slavery to education and leadership.",National Monument,37.1152054,-79.731858,VA,National,TRUE,0
,Boston African American National Historic Site,"This historic site sits in Boston's Beacon Hill neighborhood and preserves a network of 15 historically significant locations along the Black Heritage Trail. The urban landscape features brick townhouses, cobblestone streets, churches, and schools, with guided tours and exhibits that illuminate abolition, education, and civil rights in African American history.",National Historic Site,42.359083,-71.067642,MA,National,TRUE,0
,Boston Harbor Islands National Recreation Area,"This urban-coastal landscape comprises a chain of more than 30 islands and peninsulas in Boston Harbor. From the ferries that depart from downtown Boston to the historic Fort Warren on Georges Island, visitors can explore beaches, marshes, lighthouses, and backcountry trails. Wildlife includes harbor seals, oState Parkreys, piping plovers, and a variety of migratory waterfowl.",National Recreation Area,42.3090553,-70.939411,MA,National,TRUE,0
,Boston National Historical Park,"This urban landscape in downtown Boston preserves three centuries of American history within Boston National Historical Park. It protects colonial and Revolutionary War landmarks—the Paul Revere House, Old North Church, Old State House, Faneuil Hall, and the Bunker Hill Monument—as well as the USS Constitution at the Charlestown Navy Yard. The area also features the Freedom Trail, harbor views, and living-history programs that bring the nation’s founding era to life.",National Historical Park,42.3695741,-71.055368,MA,National,TRUE,0
,Brices Cross Roads National Military Park Site,An historic Civil War battlefield in northern Mississippi that preserves the Brices Cross Roads engagement. The landscape of rolling farmland and timbered hills features markers and monuments that recount the clash between Confederate and Union forces and the Confederate victory that checked a Union advance.,National Military Park Site,34.5061196,-88.728893,MS,National,TRUE,0
,Brown v. Board of Education National Historical Park,"This region that helped redefine American civil rights centers on a compact urban historic district in Topeka, Kansas. The park preserves Monroe Elementary School and other linked sites where the Brown v. Board of Education case unfolded, with a visitor center and interpretive programs that recount the fight to end school segregation. The surrounding urban landscape—historic neighborhoods and river valleys—hosts guided tours, exhibits, and living-history programs that illuminate the people and decisions behind the landmark ruling.",National Historical Park,39.0378767,-95.676144,KS,National,TRUE,0
,Bryce Canyon National Park,"Bryce Canyon National Park, in southern Utah, features a surreal landscape of multicolored hoodoo State Parkires rising from red-rock amphitheaters. Scenic drives along the rim and backcountry hiking opportunities among the hoodoos reveal dramatic vistas and night-sky views. Wildlife includes mule deer, pronghorn, bighorn sheep, and peregrine falcons.",National Park,37.5839914,-112.18267,UT,National,FALSE,35
,Buck Island Reef National Monument,"Buck Island Reef National Monument lies off the northeast coast of Saint Croix in the U.S. Virgin Islands, protecting Buck Island and its surrounding coral reef ecosystem. The area features a pristine crescent beach, mangrove-fringed shores, and a vibrant barrier reef with seagrass beds, offering superb snorkeling, kayaking, and guided reef tours. Wildlife includes hawkState Beachill and green sea turtles, a rainbow of reef fishes, and bottlenose dolphins, with seabirds nesting on Buck Island.",National Monument,17.8102672,-64.622218,VI,National,TRUE,0
,Buffalo National River,"This wild river valley in the Ozark Mountains preserves a free-flowing stretch of the Buffalo River in north-central Arkansas. The landscape features towering limestone bluffs, secluded canyons such as Hemmed-In-Hollow, sandstone cliffs, and hardwood forests along winding water routes. Scenic drives, backcountry trails, canoeing, and camping opportunities are popular here. Wildlife includes white-tailed deer, wild turkeys, black bears, beavers, river otters, and a variety of birds.",National River,36.0411648,-92.907616,AR,National,TRUE,0
,Butterfield Overland National Trail,"This historic corridor traces the Butterfield Overland National Trail from Missouri to California along the old Butterfield Overland Mail routes. From prairie plains to desert canyons and mountain passes, it preserves stage stations, emigrant camps, and travel routes with scenic byways and backcountry hiking opportunities where wildlife such as pronghorn, mule deer, coyotes, and roadrunners may be seen.",National Trail,32.2768238,-106.79658,"MO,AR,OK,TX,NM,AZ,CA",National,TRUE,0
,Cabrillo National Monument,"This coastal promontory at the southern tip of Point Loma preserves Cabrillo National Monument. Besides the historic Old Point Loma Lighthouse and the statue of Juan Rodríguez Cabrillo, there are sweeping views of San Diego Bay, rugged sea cliffs, and accessible tide pools along scenic trails. Wildlife includes gray whales during migration, pelicans, and a variety of shorebirds.",National Monument,32.6722503,-117.2416,CA,National,FALSE,20
,California National Trail,"Yosemite National Park State Parkans the heart of the Sierra Nevada, where granite cliffs rise above ancient sequoias, alpine meadows, and thundering waterfalls. Iconic features include El Capitan, Half Dome, and Yosemite Falls, with miles of scenic drives and backcountry trails weaving through pine forests, alpine meadows, and high-country lakes. Wildlife includes American black bears, mule deer, coyotes, mountain lions, and Sierra Nevada bighorn sheep, and habitats range from alpine and subalpine to riparian forests.",National Trail,42.3999644,-108.70242,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",National,TRUE,0
,Camp Nelson National Monument,"Camp Nelson National Monument preserves a Civil War–era Union Army camp and the Black soldiers’ community that formed around it, a pivotal site in emancipation and military history in central Kentucky. Rolling bluegrass fields, woodlands, and riparian streams frame historic structures and cemeteries, while wildlife includes white-tailed deer, wild turkeys, red-tailed hawks, and a variety of songbirds.",National Monument,37.797018,-84.598168,KY,National,TRUE,0
,Canaveral National Seashore,"Canaveral National Seashore stretches along Florida’s Atlantic coast, protecting a long barrier-island stretch with two units—Playalinda Beach in the north and Apollo Beach in the south. It features rolling dunes, maritime hammocks, coastal salt marshes, and miles of pristine beaches and tidal flats. Wildlife includes nesting sea turtles, dolphins, manatees, alligators, and a variety of shorebirds that rely on the seashore’s beaches and backcountry habitats.",National Seashore,28.7863753,-80.754196,FL,National,FALSE,25
,Cane National River Creole National Historical Park,"Two historic plantations along Cane River in north-central Louisiana—the Magnolia and Oakland units—make up Cane River Creole National Historical Park. The park preserves 19th-century plantation landscapes, including slave cabins, outbuildings, and Creole homes, to tell the stories of enslaved people, free people of color, and the communities that formed along the Cane River. The river valley’s fields, live oaks, and bayous provide the setting for these culturally rich landscapes that interpret daily life, labor, and resilience in this Creole cultural heartland.",National Historical Park,31.6540845,-93.00132,LA,National,TRUE,0
,Canyon de Chelly National Monument,"Rugged ancestral canyon country in northeastern Arizona showcases towering red sandstone cliffs, sculpted mesas, and a living record of thousands of years of Ancestral Puebloan culture. The San Juan River winds through the canyon, with iconic formations such as State Parkider Rock and cliff dwellings like White House and Mummy Cave visible from overlooks and trails. Scenic drives along the rim and backcountry hiking provide access to the canyon’s archaeology, vistas, and wildlife, including mule deer, coyotes, and a variety of desert birds.",National Monument,36.1431957,-109.33883,AZ,National,TRUE,0
,Canyonlands National Park,"This vast desert region in southeastern Utah consists of three units—Island in the Sky, The Needles, and The Maze. Dramatic canyons carved by the Colorado and Green Rivers rise beside sweeping vistas from cliff-edge overlooks, offering scenic drives, backcountry hiking, and challenging canyoneering and 4x4 routes. Wildlife includes mule deer, desert bighorn sheep, coyotes, and rock squirrels, while ancient Puebloan rock art and ruins dot the canyon walls.",National Park,38.2455578,-109.88016,UT,National,FALSE,30
,Cape Cod National Seashore,"This coastal region along the Outer Cape preserves a 40-mile stretch of beaches, dunes, salt marshes, and kettle ponds. Cape Cod National Seashore features expansive Atlantic shoreline, maritime forests, and historic sites such as the Marconi Wireless Station. Wildlife includes gray seals, harbor seals, piping plovers, and a variety of shorebirds, with opportunities for scenic drives, backcountry hiking, birdwatching, and kayaking along tidal creeks.",National Seashore,41.9238147,-70.043198,MA,National,FALSE,25
